id,time,into_city,intercity,passenger,decision,battery,whether_city,matched_order
10,6,4,1,6,3,13754.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,6,1,3,0,0,8149.938845865557,True,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,6,6,5,5,3,4482.311370760379,False,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
13,6,5,4,7,3,8375.782382988305,False,"{956: Order(id=956, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=13,distance=30,battery=300.57571698169966, status=Matched), 977: Order(id=977, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=13,distance=143,battery=1433.39738326551, status=Matched), 979: Order(id=979, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=13,distance=143,battery=1437.5746063125239, status=Matched)}"
14,6,3,4,6,3,10510.042740424753,False,"{691: Order(id=691, passengers=1, departure=1, destination=7,virtual_departure=1, matched_vehicle_id=14,distance=59,battery=592.4651301819151, status=Matched)}"
15,6,7,4,7,3,15308.271015775294,False,"{875: Order(id=875, passengers=3, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=15,distance=105,battery=1054.599915768473, status=Matched), 970: Order(id=970, passengers=3, departure=1, destination=4,virtual_departure=1, matched_vehicle_id=15,distance=108,battery=1086.3085217773742, status=Matched), 997: Order(id=997, passengers=1, departure=4, destination=5,virtual_departure=4, matched_vehicle_id=15,distance=109,battery=1093.57941952905, status=Matched)}"
16,6,5,6,4,3,13362.494020467739,False,"{785: Order(id=785, passengers=4, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=16,distance=143,battery=1430.9610501848995, status=Matched)}"
17,6,5,0,5,3,8568.177783425057,False,"{963: Order(id=963, passengers=2, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=17,distance=143,battery=1435.0740063243331, status=Matched), 964: Order(id=964, passengers=1, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=17,distance=103,battery=1032.8716683283155, status=Matched), 965: Order(id=965, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=17,distance=143,battery=1431.1006943640068, status=Matched), 967: Order(id=967, passengers=1, departure=0, destination=1,virtual_departure=0, matched_vehicle_id=17,distance=87,battery=878.8161232058178, status=Matched), 968: Order(id=968, passengers=1, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=17,distance=105,battery=1053.3793124383426, status=Matched)}"
18,6,0,4,7,3,12661.494992184069,False,"{728: Order(id=728, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1053.5430408242205, status=Matched), 914: Order(id=914, passengers=1, departure=5, destination=1,virtual_departure=5, matched_vehicle_id=18,distance=30,battery=308.86087856899894, status=Matched), 931: Order(id=931, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1050.6771936117952, status=Matched)}"
19,6,2,4,7,3,17896.850969074865,False,{}
0,7,4,0,6,3,11239.451433899152,False,"{653: Order(id=653, passengers=5, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=0,distance=166,battery=1662.4413950121761, status=Matched), 930: Order(id=930, passengers=2, departure=0, destination=5,virtual_departure=0, matched_vehicle_id=0,distance=70,battery=709.7195842632666, status=Matched)}"
1,7,1,2,6,3,7934.8389980962675,False,"{663: Order(id=663, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=1,distance=143,battery=1437.9070575980468, status=Matched)}"
2,7,5,2,6,3,11708.18922390334,False,"{771: Order(id=771, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1436.0086946300066, status=Matched), 780: Order(id=780, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1439.426474522278, status=Matched)}"
3,7,5,0,5,3,862.4431904466446,False,"{831: Order(id=831, passengers=3, departure=0, destination=3,virtual_departure=0, matched_vehicle_id=3,distance=112,battery=1126.524699927642, status=Matched)}"
4,7,1,3,6,3,12222.74528322996,False,"{715: Order(id=715, passengers=3, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=4,distance=103,battery=1033.6679395032702, status=Matched), 980: Order(id=980, passengers=2, departure=1, destination=6,virtual_departure=1, matched_vehicle_id=4,distance=78,battery=782.2099574635517, status=Matched), 989: Order(id=989, passengers=1, departure=5, destination=3,virtual_departure=5, matched_vehicle_id=4,distance=55,battery=559.871725965864, status=Matched), 991: Order(id=991, passengers=1, departure=6, destination=4,virtual_departure=6, matched_vehicle_id=4,distance=61,battery=619.8151366778687, status=Matched)}"
5,7,0,6,7,3,14166.148193053516,False,"{874: Order(id=874, passengers=1, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=5,distance=166,battery=1669.4458232285854, status=Matched), 882: Order(id=882, passengers=1, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=5,distance=103,battery=1030.0284397611097, status=Matched), 885: Order(id=885, passengers=1, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=5,distance=166,battery=1663.283862543235, status=Matched)}"
6,7,3,7,7,3,17280.691975476235,False,{}
7,7,0,2,3,3,288.1571800401148,False,"{726: Order(id=726, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=7,distance=105,battery=1055.2379909793358, status=Matched)}"
8,7,1,3,7,3,13149.73239034294,False,"{835: Order(id=835, passengers=3, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=8,distance=166,battery=1668.3938013313789, status=Matched)}"
9,7,2,1,7,3,20040.01997044339,False,"{972: Order(id=972, passengers=2, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=9,distance=105,battery=1053.2673558598524, status=Matched), 974: Order(id=974, passengers=2, departure=2, destination=5,virtual_departure=2, matched_vehicle_id=9,distance=93,battery=933.2757186610506, status=Matched), 975: Order(id=975, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=838.6669700802235, status=Matched), 985: Order(id=985, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=832.5854755189912, status=Matched), 986: Order(id=986, passengers=1, departure=3, destination=0,virtual_departure=3, matched_vehicle_id=9,distance=112,battery=1121.5968692681627, status=Matched)}"
10,7,4,1,6,3,13744.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,7,3,2,7,3,8149.938845865557,False,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,7,6,5,5,3,4472.311370760379,False,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
13,7,5,4,7,3,8365.782382988305,False,"{956: Order(id=956, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=13,distance=30,battery=300.57571698169966, status=Matched), 977: Order(id=977, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=13,distance=143,battery=1433.39738326551, status=Matched), 979: Order(id=979, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=13,distance=143,battery=1437.5746063125239, status=Matched)}"
14,7,3,4,6,3,10500.042740424753,False,"{691: Order(id=691, passengers=1, departure=1, destination=7,virtual_departure=1, matched_vehicle_id=14,distance=59,battery=592.4651301819151, status=Matched)}"
15,7,7,4,7,3,15298.271015775294,False,"{875: Order(id=875, passengers=3, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=15,distance=105,battery=1054.599915768473, status=Matched), 970: Order(id=970, passengers=3, departure=1, destination=4,virtual_departure=1, matched_vehicle_id=15,distance=108,battery=1086.3085217773742, status=Matched), 997: Order(id=997, passengers=1, departure=4, destination=5,virtual_departure=4, matched_vehicle_id=15,distance=109,battery=1093.57941952905, status=Matched)}"
16,7,5,6,4,3,13352.494020467739,False,"{785: Order(id=785, passengers=4, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=16,distance=143,battery=1430.9610501848995, status=Matched)}"
17,7,5,0,5,3,8558.177783425057,False,"{963: Order(id=963, passengers=2, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=17,distance=143,battery=1435.0740063243331, status=Matched), 964: Order(id=964, passengers=1, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=17,distance=103,battery=1032.8716683283155, status=Matched), 965: Order(id=965, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=17,distance=143,battery=1431.1006943640068, status=Matched), 967: Order(id=967, passengers=1, departure=0, destination=1,virtual_departure=0, matched_vehicle_id=17,distance=87,battery=878.8161232058178, status=Matched), 968: Order(id=968, passengers=1, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=17,distance=105,battery=1053.3793124383426, status=Matched)}"
18,7,0,4,7,3,12651.494992184069,False,"{728: Order(id=728, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1053.5430408242205, status=Matched), 914: Order(id=914, passengers=1, departure=5, destination=1,virtual_departure=5, matched_vehicle_id=18,distance=30,battery=308.86087856899894, status=Matched), 931: Order(id=931, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1050.6771936117952, status=Matched)}"
19,7,2,4,7,3,17886.850969074865,False,{}
0,8,4,0,6,3,11229.451433899152,False,"{653: Order(id=653, passengers=5, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=0,distance=166,battery=1662.4413950121761, status=Matched), 930: Order(id=930, passengers=2, departure=0, destination=5,virtual_departure=0, matched_vehicle_id=0,distance=70,battery=709.7195842632666, status=Matched)}"
1,8,1,2,6,3,7924.8389980962675,False,"{663: Order(id=663, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=1,distance=143,battery=1437.9070575980468, status=Matched)}"
2,8,2,0,6,3,11698.18922390334,False,"{771: Order(id=771, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1436.0086946300066, status=Matched), 780: Order(id=780, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1439.426474522278, status=Matched)}"
3,8,5,0,5,3,852.4431904466446,False,"{831: Order(id=831, passengers=3, departure=0, destination=3,virtual_departure=0, matched_vehicle_id=3,distance=112,battery=1126.524699927642, status=Matched)}"
4,8,1,3,6,3,12212.74528322996,False,"{715: Order(id=715, passengers=3, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=4,distance=103,battery=1033.6679395032702, status=Matched), 980: Order(id=980, passengers=2, departure=1, destination=6,virtual_departure=1, matched_vehicle_id=4,distance=78,battery=782.2099574635517, status=Matched), 989: Order(id=989, passengers=1, departure=5, destination=3,virtual_departure=5, matched_vehicle_id=4,distance=55,battery=559.871725965864, status=Matched), 991: Order(id=991, passengers=1, departure=6, destination=4,virtual_departure=6, matched_vehicle_id=4,distance=61,battery=619.8151366778687, status=Matched)}"
5,8,0,6,7,3,14156.148193053516,False,"{874: Order(id=874, passengers=1, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=5,distance=166,battery=1669.4458232285854, status=Matched), 882: Order(id=882, passengers=1, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=5,distance=103,battery=1030.0284397611097, status=Matched), 885: Order(id=885, passengers=1, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=5,distance=166,battery=1663.283862543235, status=Matched)}"
6,8,3,7,7,3,17270.691975476235,False,{}
7,8,0,2,3,3,278.1571800401148,False,"{726: Order(id=726, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=7,distance=105,battery=1055.2379909793358, status=Matched)}"
8,8,3,1,5,3,13139.73239034294,False,"{835: Order(id=835, passengers=3, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=8,distance=166,battery=1668.3938013313789, status=Matched)}"
9,8,2,1,7,3,20030.01997044339,False,"{972: Order(id=972, passengers=2, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=9,distance=105,battery=1053.2673558598524, status=Matched), 974: Order(id=974, passengers=2, departure=2, destination=5,virtual_departure=2, matched_vehicle_id=9,distance=93,battery=933.2757186610506, status=Matched), 975: Order(id=975, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=838.6669700802235, status=Matched), 985: Order(id=985, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=832.5854755189912, status=Matched), 986: Order(id=986, passengers=1, departure=3, destination=0,virtual_departure=3, matched_vehicle_id=9,distance=112,battery=1121.5968692681627, status=Matched)}"
10,8,4,1,6,3,13734.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,8,3,2,7,3,8139.938845865557,False,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,8,6,5,5,3,4462.311370760379,False,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
13,8,5,4,7,3,8355.782382988305,False,"{956: Order(id=956, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=13,distance=30,battery=300.57571698169966, status=Matched), 977: Order(id=977, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=13,distance=143,battery=1433.39738326551, status=Matched), 979: Order(id=979, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=13,distance=143,battery=1437.5746063125239, status=Matched)}"
14,8,3,4,0,0,10490.042740424753,True,"{691: Order(id=691, passengers=1, departure=1, destination=7,virtual_departure=1, matched_vehicle_id=14,distance=59,battery=592.4651301819151, status=Matched)}"
15,8,4,6,7,3,15288.271015775294,False,"{875: Order(id=875, passengers=3, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=15,distance=105,battery=1054.599915768473, status=Matched), 970: Order(id=970, passengers=3, departure=1, destination=4,virtual_departure=1, matched_vehicle_id=15,distance=108,battery=1086.3085217773742, status=Matched), 997: Order(id=997, passengers=1, departure=4, destination=5,virtual_departure=4, matched_vehicle_id=15,distance=109,battery=1093.57941952905, status=Matched)}"
16,8,5,6,4,3,13342.494020467739,False,"{785: Order(id=785, passengers=4, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=16,distance=143,battery=1430.9610501848995, status=Matched)}"
17,8,0,2,5,3,8548.177783425057,False,"{963: Order(id=963, passengers=2, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=17,distance=143,battery=1435.0740063243331, status=Matched), 964: Order(id=964, passengers=1, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=17,distance=103,battery=1032.8716683283155, status=Matched), 965: Order(id=965, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=17,distance=143,battery=1431.1006943640068, status=Matched), 967: Order(id=967, passengers=1, departure=0, destination=1,virtual_departure=0, matched_vehicle_id=17,distance=87,battery=878.8161232058178, status=Matched), 968: Order(id=968, passengers=1, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=17,distance=105,battery=1053.3793124383426, status=Matched)}"
18,8,0,4,7,3,12641.494992184069,False,"{728: Order(id=728, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1053.5430408242205, status=Matched), 914: Order(id=914, passengers=1, departure=5, destination=1,virtual_departure=5, matched_vehicle_id=18,distance=30,battery=308.86087856899894, status=Matched), 931: Order(id=931, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1050.6771936117952, status=Matched)}"
19,8,2,4,7,3,17876.850969074865,False,{}
0,9,0,6,6,3,11219.451433899152,False,"{653: Order(id=653, passengers=5, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=0,distance=166,battery=1662.4413950121761, status=Matched), 930: Order(id=930, passengers=2, departure=0, destination=5,virtual_departure=0, matched_vehicle_id=0,distance=70,battery=709.7195842632666, status=Matched)}"
1,9,1,2,6,3,7914.8389980962675,False,"{663: Order(id=663, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=1,distance=143,battery=1437.9070575980468, status=Matched)}"
2,9,2,0,6,3,11688.18922390334,False,"{771: Order(id=771, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1436.0086946300066, status=Matched), 780: Order(id=780, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1439.426474522278, status=Matched)}"
3,9,5,0,5,3,842.4431904466446,False,"{831: Order(id=831, passengers=3, departure=0, destination=3,virtual_departure=0, matched_vehicle_id=3,distance=112,battery=1126.524699927642, status=Matched)}"
4,9,1,3,0,0,12202.74528322996,True,"{715: Order(id=715, passengers=3, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=4,distance=103,battery=1033.6679395032702, status=Matched), 980: Order(id=980, passengers=2, departure=1, destination=6,virtual_departure=1, matched_vehicle_id=4,distance=78,battery=782.2099574635517, status=Matched), 989: Order(id=989, passengers=1, departure=5, destination=3,virtual_departure=5, matched_vehicle_id=4,distance=55,battery=559.871725965864, status=Matched), 991: Order(id=991, passengers=1, departure=6, destination=4,virtual_departure=6, matched_vehicle_id=4,distance=61,battery=619.8151366778687, status=Matched)}"
5,9,0,6,7,3,14146.148193053516,False,"{874: Order(id=874, passengers=1, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=5,distance=166,battery=1669.4458232285854, status=Matched), 882: Order(id=882, passengers=1, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=5,distance=103,battery=1030.0284397611097, status=Matched), 885: Order(id=885, passengers=1, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=5,distance=166,battery=1663.283862543235, status=Matched)}"
6,9,7,3,4,3,17260.691975476235,False,{}
7,9,2,1,3,3,268.1571800401148,False,"{726: Order(id=726, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=7,distance=105,battery=1055.2379909793358, status=Matched)}"
8,9,3,1,5,3,13129.73239034294,False,"{835: Order(id=835, passengers=3, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=8,distance=166,battery=1668.3938013313789, status=Matched)}"
9,9,2,1,7,3,20020.01997044339,False,"{972: Order(id=972, passengers=2, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=9,distance=105,battery=1053.2673558598524, status=Matched), 974: Order(id=974, passengers=2, departure=2, destination=5,virtual_departure=2, matched_vehicle_id=9,distance=93,battery=933.2757186610506, status=Matched), 975: Order(id=975, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=838.6669700802235, status=Matched), 985: Order(id=985, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=832.5854755189912, status=Matched), 986: Order(id=986, passengers=1, departure=3, destination=0,virtual_departure=3, matched_vehicle_id=9,distance=112,battery=1121.5968692681627, status=Matched)}"
10,9,1,5,6,3,13724.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,9,3,2,7,3,8129.938845865557,False,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,9,6,5,0,0,4452.311370760379,True,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
13,9,5,4,7,3,8345.782382988305,False,"{956: Order(id=956, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=13,distance=30,battery=300.57571698169966, status=Matched), 977: Order(id=977, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=13,distance=143,battery=1433.39738326551, status=Matched), 979: Order(id=979, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=13,distance=143,battery=1437.5746063125239, status=Matched)}"
14,9,4,1,7,3,10490.042740424753,False,"{691: Order(id=691, passengers=1, departure=1, destination=7,virtual_departure=1, matched_vehicle_id=14,distance=59,battery=592.4651301819151, status=Matched)}"
15,9,4,6,7,3,15278.271015775294,False,"{875: Order(id=875, passengers=3, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=15,distance=105,battery=1054.599915768473, status=Matched), 970: Order(id=970, passengers=3, departure=1, destination=4,virtual_departure=1, matched_vehicle_id=15,distance=108,battery=1086.3085217773742, status=Matched), 997: Order(id=997, passengers=1, departure=4, destination=5,virtual_departure=4, matched_vehicle_id=15,distance=109,battery=1093.57941952905, status=Matched)}"
16,9,6,4,1,3,13332.494020467739,False,"{785: Order(id=785, passengers=4, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=16,distance=143,battery=1430.9610501848995, status=Matched)}"
17,9,0,2,5,3,8538.177783425057,False,"{963: Order(id=963, passengers=2, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=17,distance=143,battery=1435.0740063243331, status=Matched), 964: Order(id=964, passengers=1, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=17,distance=103,battery=1032.8716683283155, status=Matched), 965: Order(id=965, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=17,distance=143,battery=1431.1006943640068, status=Matched), 967: Order(id=967, passengers=1, departure=0, destination=1,virtual_departure=0, matched_vehicle_id=17,distance=87,battery=878.8161232058178, status=Matched), 968: Order(id=968, passengers=1, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=17,distance=105,battery=1053.3793124383426, status=Matched)}"
18,9,0,4,7,3,12631.494992184069,False,"{728: Order(id=728, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1053.5430408242205, status=Matched), 914: Order(id=914, passengers=1, departure=5, destination=1,virtual_departure=5, matched_vehicle_id=18,distance=30,battery=308.86087856899894, status=Matched), 931: Order(id=931, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1050.6771936117952, status=Matched)}"
19,9,2,4,7,3,17866.850969074865,False,{}
0,10,0,6,6,3,11209.451433899152,False,"{653: Order(id=653, passengers=5, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=0,distance=166,battery=1662.4413950121761, status=Matched), 930: Order(id=930, passengers=2, departure=0, destination=5,virtual_departure=0, matched_vehicle_id=0,distance=70,battery=709.7195842632666, status=Matched)}"
1,10,2,0,2,3,7904.8389980962675,False,"{663: Order(id=663, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=1,distance=143,battery=1437.9070575980468, status=Matched)}"
2,10,0,6,6,3,11678.18922390334,False,"{771: Order(id=771, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1436.0086946300066, status=Matched), 780: Order(id=780, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1439.426474522278, status=Matched)}"
3,10,5,0,5,3,832.4431904466446,False,"{831: Order(id=831, passengers=3, departure=0, destination=3,virtual_departure=0, matched_vehicle_id=3,distance=112,battery=1126.524699927642, status=Matched)}"
4,10,3,1,7,3,12202.74528322996,False,"{715: Order(id=715, passengers=3, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=4,distance=103,battery=1033.6679395032702, status=Matched), 980: Order(id=980, passengers=2, departure=1, destination=6,virtual_departure=1, matched_vehicle_id=4,distance=78,battery=782.2099574635517, status=Matched), 989: Order(id=989, passengers=1, departure=5, destination=3,virtual_departure=5, matched_vehicle_id=4,distance=55,battery=559.871725965864, status=Matched), 991: Order(id=991, passengers=1, departure=6, destination=4,virtual_departure=6, matched_vehicle_id=4,distance=61,battery=619.8151366778687, status=Matched)}"
5,10,6,4,7,3,14136.148193053516,False,"{874: Order(id=874, passengers=1, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=5,distance=166,battery=1669.4458232285854, status=Matched), 882: Order(id=882, passengers=1, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=5,distance=103,battery=1030.0284397611097, status=Matched), 885: Order(id=885, passengers=1, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=5,distance=166,battery=1663.283862543235, status=Matched)}"
6,10,7,3,4,3,17250.691975476235,False,{}
7,10,2,1,3,3,258.1571800401148,False,"{726: Order(id=726, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=7,distance=105,battery=1055.2379909793358, status=Matched)}"
8,10,1,5,5,3,13119.73239034294,False,"{835: Order(id=835, passengers=3, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=8,distance=166,battery=1668.3938013313789, status=Matched)}"
9,10,2,1,7,3,20010.01997044339,False,"{972: Order(id=972, passengers=2, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=9,distance=105,battery=1053.2673558598524, status=Matched), 974: Order(id=974, passengers=2, departure=2, destination=5,virtual_departure=2, matched_vehicle_id=9,distance=93,battery=933.2757186610506, status=Matched), 975: Order(id=975, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=838.6669700802235, status=Matched), 985: Order(id=985, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=832.5854755189912, status=Matched), 986: Order(id=986, passengers=1, departure=3, destination=0,virtual_departure=3, matched_vehicle_id=9,distance=112,battery=1121.5968692681627, status=Matched)}"
10,10,1,5,6,3,13714.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,10,3,2,7,3,8119.938845865557,False,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,10,5,3,7,3,4452.311370760379,False,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
